source,Gasoline+Motor Oil+Meat Cooking,Diesel,Wood burning,Shipping,Sea Spray,Sb,Sn
OC1,6.8566,8.1477,0.89,0.66648,2.3436,0.75589,0.33432
OC2,8.7171,13.169,0.93641,0.79502,4.151,0.35284,1.2821
OC3,9.2576,14.078,3.3773,0,1.3959,0.18807,3.3071
OC4,3.4283,7.4097,1.7813,1.1207,2.0735,0.42991,1.759
PyC,21.518,14.568,2.493,0.40445,3.2617,0.88859,0.00024694
EC1,11.814,7.1681,1.9115,1.4393,1.4725,0,0.60044
EC2,16.526,9.3866,2.7965,0,0,0,1.4875
EC3,0,29.385,0,0.072177,0,0,7.5694
EC4,0,0.43164,0,0.19974,0.031272,0,0
Li,0.00020121,0.00050019,0.00010854,0.000095066,0.00021051,0.00015314,0
Na,0,0.019006,0.20668,0.13171,0,0.12743,0.089788
Mg,0,0.019892,0.0080805,0.078229,0.037169,0,0
K,0,0,0.84141,0.1991,0.03498,0,0.018195
Ca,0,0,0.14499,0.13349,0,0.14794,0.046113
V,0.00025745,0,0,0.011848,0,0,0.0011809
Mn,0.00013333,0.0014368,0.0023817,0.0023643,0.001458,0.00053165,0
Co,0,0.00011598,0.00024141,0.00015435,0,0.00013555,4.79E-06
Zn,0,0.025736,0.10563,0.067017,0,0.05575,0.050447
Ga,0,0.00040899,0.0002098,0.00017999,0.00016289,0.00024162,0.000061796
As,0.0008759,0.003954,0.0045029,0.00035594,0.0030674,0.0038266,0.000043974
Se,0.0040009,0,0.0029839,0.0011155,0.0097096,0.0094493,0.0024647
Br,0.00027686,0.037882,0,0,0.091919,0.026647,0.0047132
Rb,0.0001325,0.00017042,0.0010043,0,0.00027317,0.00011635,0.000072648
Sr,0.00026505,0.00088029,0.0010173,0.0016952,0.00076384,0.00059775,0
Mo,0.0012508,0.0032711,0.00084498,0.0085526,0.0010338,0.0028407,0
Ag,0.00011764,0.00098851,0.00013038,0,0.00016138,0.00017455,0.00015379
Cd,0,0,0.00084079,0,0,0.00025366,0.0010109
Sn,0.0067837,0,0.0030339,0.0036492,0.015743,0.010373,0.092737
Sb,0,0.020945,0,0,0.0014457,0.065647,0.00028811
Pb,0.00046445,0.011027,0.018873,0.014535,0.0026582,0.0034397,0.00063061
Total,58.893,85.449,11.233,4.4606,15.226,2.0788,13.435
