source,Gasoline+Motor Oil+Meat Cooking,Diesel,Wood burning,Shipping,Sea Spray,Sb,Sn
OC1,34.29227606,40.74952275,4.451204051,3.333301658,11.72117058,3.780472618,1.67205229
OC2,29.64650091,44.78723089,3.184692147,2.703830534,14.11738138,1.199994422,4.360369711
OC3,29.29252243,44.54503659,10.68631567,0,4.416850162,0.595083466,10.46419168
OC4,19.04356139,41.1594892,9.894786309,6.225277616,11.51790233,2.388069153,9.770914005
PyC,49.88641562,33.77383134,5.779665125,0.937659671,7.561786497,2.060069247,0.000572495
EC1,48.40644698,29.37042937,7.832141815,5.897358993,6.033392008,0,2.46023083
EC2,54.72801574,31.08495658,9.260976401,0,0,0,4.926051277
EC3,0,79.36191347,0,0.194932953,0,0,20.44315358
EC4,0,65.13826262,0,30.14251824,4.719219138,0,0
Li7,15.86009131,39.42676344,8.555510714,7.493441879,16.59315055,12.07104211,0
Na23,0,3.307611718,35.96849363,22.92147424,0,22.1766264,15.62579401
Mg25,0,13.87454183,5.636096687,54.56422346,25.92513802,0,0
K39,0,0,76.93348633,18.20451044,3.198361503,0,1.663641725
Ca43,0,0,30.68357131,28.24987884,0,31.30786633,9.758683521
V51,1.937702981,0,0,89.17422768,0,0,8.888069334
Mn55,1.605267657,17.29879674,28.67521172,28.46571905,17.55404068,6.400964148,0
Co59,0,17.78614484,37.02149704,23.67038676,0,20.78730758,0.734663782
Zn66,0,8.449668396,34.6805437,22.00308622,0,18.30389389,16.5628078
Ga69,0,32.32902743,16.5838528,14.22749125,12.87580449,19.09909682,4.884727204
As75,5.268028307,23.78100688,27.08232066,2.140771772,18.4486243,23.01477009,0.264477996
Se77,13.46021215,0,10.03872305,3.752872268,32.66596914,31.79024287,8.291980527
Br79,0.171496114,23.4653464,0,0,56.93762673,16.50602095,2.919509811
Rb85,7.488464938,9.631578828,56.7597384,0,15.43867145,6.575719966,4.105826421
Sr88,5.078140717,16.86563475,19.49063403,32.4786423,14.63454822,11.45239997,0
Mo95,7.029343632,18.38318353,4.748684668,48.06457015,5.809830066,15.96438796,0
Ag107,6.814771904,57.2634323,7.552787835,0,9.34858798,10.1115134,8.908906589
Cd111,0,0,39.93587765,0,0,12.04835301,48.01576935
Sn118,5.126745959,0,2.292854131,2.757863902,11.89769029,7.839340749,70.08550497
Sb121,0,23.71334042,0,0,1.636780914,74.32368863,0.326190046
Pb208,0.899609436,21.35858167,36.55577327,28.15334946,5.148760478,6.662475139,1.221450547
Total,30.87033234,44.79036605,5.888075716,2.338142129,7.981112869,1.08965831,7.042312583
