source,Gasoline+Motor Oil+MeatCcooking,Diesel,Wood burning,Shipping,Sea spray,Sb,Sn
OC1,3.6538,8.9122,1.4862,0.50409,1.4987,0,0.79527
OC2,6.3137,10.551,1.8973,0.41641,2.3952,0,0.85996
OC3,7.0615,9.1187,2.9523,1.2678,1.9203,1.0329,0.82289
OC4,4.8281,5.7632,2.4568,0.63094,1.1924,0,0.46184
PyC,3.989,24.069,5.4321,0.12484,0,0,1.5235
EC1,2.8626,13.416,2.4334,0,0.19977,0,0.88802
EC2,0.73397,17.889,0,1.3724,0,2.0601,1.7321
EC3,21.063,0,0.094623,0,2.8803,0.35458,0.33021
EC4,0.24163,0,0.083098,0.039551,0.014611,0.00065115,0.022567
Li,0.000038841,0.000010366,0.000046976,0.000075108,0.000064889,0.00010169,0.000023277
Na,0,0,0.37936,0.46648,0.29237,0.07401,0
Mg,0,0,0.02694,0.018944,0.045797,0,0.008921
K,0,0,0.56975,0.019873,0.34075,0.038998,0
Ca,0,0.49676,0.21434,0,0,0,0.25878
V,0.00011971,0.000077478,0.000036109,0.00549,0.0012228,0,0.00058343
Cr,0.0061627,0,0.039238,0.0069424,0.0077331,0,0.046687
Mn,0.0011787,0.0005838,0.00090428,0.0014733,0.00064956,0.0011441,0.0008517
Co,0,0,0.00007912,0.00031389,0.000033378,0.000013329,0.00001567
Zn,0.030044,0.034766,0.086593,0.033057,0.0075243,0.027014,0.01185
Ga,0,0,0.00018182,0.00034376,0.00021972,0.00014366,0.00011765
As,0.00075361,0.002016,0.0023822,0.0019158,0,0.0023858,0.00076316
Se,0.00055701,0,0.000986,0.0014728,0.0015619,0.0010116,0.0047482
Br,0.0098704,0.0024652,0,0,0.062193,0.0027381,0.0063477
Rb,0.000034856,0.00031436,0.00091959,0,0.00032681,0,9.54E-06
Sr,0.00019706,0.00023779,0.00080995,0.0012349,0.00050195,0.0007015,0.00011635
Mo,0.00082583,0.00018048,0.00038979,0.0015714,0.0010772,0.0015007,0.00025974
Ag,0.00015505,0.00053483,0.00045327,0.00041369,0.00011355,0,0
Cd,0,0.000076326,0.000289,0.0010473,0,0,0
Sn,0.00061204,0,0,0,0.0011425,0.002981,0.03833
Sb,0,0,0.00061715,0.0009176,0.0023253,0.012979,0.00042215
Tl,0,0.00052302,0.00042441,0.0021442,0,0.00049731,0
Pb,0,0.011573,0.008241,0.0055444,0.0096758,0.023504,0.0052581
U,0,0,0.00057701,0.0019988,0.00018877,0.00020844,0
