,Gasoline+Motor Oil+MeatCooking,Diesel,Wood burning,Shipping,Sea spray,Sb,Sn
8/1/2015,0.945222397,20.45298852,15.7466583,0,0.90510813,0,0.000265726
8/7/2015,2.596778892,44.3487864,16.4243151,0,2.260107342,0,0.393323261
8/10/2015,0,53.066184,16.1466984,0,0.571041504,0,0.884249769
8/13/2015,69.47965154,103.7777184,14.7740724,0,2.498429016,0,1.484147774
8/16/2015,209.1118279,28.28219844,0,0.7106904,0,0,0
8/19/2015,8.370598457,52.4428944,0,4.238973,24.6126969,1.220128064,0.065655736
8/22/2015,16.01548114,57.2560752,5.6807343,0,0,0,0
8/25/2015,27.5823191,117.0659064,13.3579593,0.44148402,2.397480534,0,3.14491268
8/28/2015,4.989318802,74.7168408,16.6318578,0,0.440096202,0,1.933421014
8/31/2015,12.2598243,74.23206,14.3202402,0,1.481536818,0.748612475,0
9/3/2015,103.0794325,7.5357444,11.401452,0,1.055765628,0,0.786782941
9/6/2015,289.3263681,13.52322012,6.3936342,0,11.46184614,1.475857026,2.212352396
9/9/2015,245.8547316,4.84261392,9.7775901,15.744681,3.456551934,1.341425339,12.12219234
9/12/2015,139.5937787,7.5335802,16.4319408,0,0.134593895,0,6.540108752
9/15/2015,108.1899782,9.6371826,11.1576357,0,1.53412308,0,1.356641482
9/18/2015,309.2017283,11.13004776,0,0,0,0,0
9/21/2015,152.4569948,1.636438188,9.9991476,9.113553,7.31738754,1.569023135,5.371907382
9/24/2015,67.287328,136.5566916,0,0,0,0.205827998,0.532634344
9/27/2015,16.9589665,88.5201084,12.3820758,5.632317,3.311648928,0,4.605232602
9/30/2015,193.4419257,44.495952,18.2023398,0.45599625,1.645111314,0,4.587589078
10/3/2015,105.0358847,20.45991396,12.2534694,0,3.19711005,0,0.824552814
10/6/2015,189.4924521,29.60971872,6.1764048,4.239504,1.64156067,0,0
10/9/2015,56.79471029,105.764454,14.2443954,0,2.097818424,0,0
10/12/2015,272.3856862,64.6100268,7.3847691,18.193122,7.85059632,0.136009777,0
10/15/2015,22.04848491,80.226894,13.3901109,0,1.788238998,0,1.17547705
10/18/2015,105.7672687,23.64648204,14.5399428,0,1.746671976,0,0.145422654
10/21/2015,244.3096829,58.4507136,15.7252239,0.5611608,7.18576884,0.638734297,0
10/24/2015,221.3990791,17.21015124,14.6870982,0.7145136,4.029491196,0.903578933,0
10/27/2015,187.1611656,28.27440732,9.944325,0,0.754634286,0,0.075086837
11/17/2015,285.879721,5.46157512,27.479313,0,1.637642718,0,0
11/20/2015,284.7369335,3.22011318,32.322663,0,6.28463988,2.904028295,0.537972874
11/23/2015,90.68430216,3.155793156,25.890282,0.004139835,2.281349988,0,0
