,Gasoline+Motor Oil+Meat Cooking,Diesel,Wood burning,Shipping,Sea Spray,Sb,Sn
8/2/2015,22.96179177,41.63587974,0,12.73590512,13.99375982,2.10395348,20.4225435
8/7/2015,3.472390173,55.84263048,1.63002063,1.024064548,10.49208434,0,3.40993735
8/10/2015,35.14498668,103.3249308,0,14.53397298,14.2035741,4.40539296,0
8/13/2015,22.23917466,78.56351958,1.51825228,3.937996104,13.09420774,2.47397988,10.39989915
8/16/2015,57.77108835,0,2.94473095,11.29334708,26.5054208,0.578862648,13.9092555
8/19/2015,0,47.19604617,5.27041127,5.03512528,16.3923116,0.216631748,16.3732345
8/22/2015,19.05011871,45.53149965,6.30822814,21.6629039,41.2046012,0.067068324,7.02502715
8/25/2015,7.05184782,118.5263079,3.20275296,10.2459982,37.0814004,0.311321088,4.98666895
8/28/2015,29.54426238,0,5.57819547,17.5926064,25.9953498,0.889955068,20.1001035
8/31/2015,0,57.09104037,0,12.99774234,5.09629446,0,0.4718372
9/3/2015,16.5194865,28.90226976,13.3998457,3.64230293,28.754301,1.259981468,6.46290675
9/6/2015,0,162.8914287,6.14838255,2.263219228,16.383176,0,0.383905125
9/9/2015,36.48009099,164.745672,2.98382179,9.38688664,25.2416628,0.112433977,18.373706
9/15/2015,0,57.00217341,1.032290234,2.4444088,13.51703376,1.010567044,1.9367896
9/18/2015,0,75.99150468,8.04001975,7.35508334,31.944148,1.89305922,0
9/24/2015,0,112.963578,6.96187641,4.010391642,22.3091352,1.7274828,12.65187385
9/27/2015,26.5548537,99.0781155,0.438244262,6.30327386,19.9354018,2.68456232,15.7686595
9/30/2015,0,146.0579757,1.37256027,6.13243288,2.39246138,4.22453736,10.197165
10/6/2015,7.03948029,200.2240968,7.87118776,7.22884836,0,4.00667912,6.6256046
10/9/2015,264.4707951,29.27995434,10.90960193,5.7519437,23.508944,3.63103996,12.2118776
10/12/2015,21.22091469,82.02847653,0.95660228,12.32151538,6.46693898,0.8694581,0
10/15/2015,0,62.99898423,5.79375674,0.564578142,4.03961006,0,0
10/24/2015,43.97304738,168.4627035,8.23749589,1.901821416,17.0546426,2.1286912,3.44970495
10/27/2015,0,164.7627618,3.42415539,2.550972534,0,4.3519678,11.41907825
11/5/2015,80.8954248,146.203239,14.7478057,1.007069662,0.739313656,0.101763496,5.71403985
11/11/2015,167.2502307,58.64108523,14.5512282,0.315609753,4.6599173,1.06496924,0
11/17/2015,33.68502921,246.2127486,29.0417982,2.279188176,7.71608002,0.318430584,13.21775605
11/23/2015,24.54189096,94.3869654,14.7084902,2.417555988,6.3104157,1.984671936,1.07780944
11/26/2015,215.7603948,8.93027499,34.8223,0,13.59894964,1.182483804,0
11/29/2015,0,108.1015299,57.9858693,0.610566928,11.18304022,0.66583964,2.0749014
12/2/2015,227.2150833,51.81969156,15.8969416,2.015254474,20.9920862,2.35673556,0
12/5/2015,62.4972516,157.5594111,34.2561568,0,24.2291338,1.55504634,0
12/8/2015,286.1375298,41.92384287,0.009808319,6.25331514,18.8406524,1.666241352,9.71122105
12/11/2015,48.90769185,0,26.453715,0,22.2710702,1.504884896,4.40600825
12/14/2015,253.4106897,38.22731913,13.659328,0,20.585552,0.956497456,0
12/17/2015,160.4480892,7.418084037,24.6249826,0,22.191895,1.422793084,2.66187655
12/20/2015,0,0,0,0,0,0,0
1/4/2016,31.81694325,98.4885174,5.94854748,4.56587016,0,4.91199652,4.2134847
1/7/2016,74.0343903,49.72020963,4.14868389,6.7198939,8.65202224,2.49892548,31.9497735
1/10/2016,161.9263035,50.66185761,26.9311175,1.078082414,31.4355996,1.79005468,9.0589518
1/13/2016,47.53136244,140.2474437,1.018439945,1.913909642,6.32853464,2.57064408,29.624175
1/16/2016,21.40466085,60.14669661,15.9811891,1.502820746,14.91371474,1.19094452,28.1503555
1/19/2016,40.91591175,130.3439046,6.08514076,6.34029684,0,3.72708052,30.755402
1/22/2016,22.11844401,72.91704966,15.2634004,1.887993556,22.4309432,4.86688656,23.736958
1/25/2016,48.18154116,171.1799817,22.3446836,1.247719032,10.69976698,1.176871044,0
1/31/2016,48.73101285,139.452768,5.12415761,0.181515196,10.77985574,0.529200116,0
2/3/2016,19.53009666,173.1111291,16.5057702,0.975622432,13.77237378,0.721717784,0
2/6/2016,345.7902495,0,37.3126561,0.717978176,26.1795844,3.66866624,17.2465095
2/9/2016,45.07199076,110.2377549,46.3215221,1.199946006,33.1530924,2.7315432,18.8855795
2/12/2016,495.9556209,55.16843787,36.3106725,0,27.7859274,2.67354468,2.90478135
2/15/2016,65.0885436,51.54625476,6.48413692,8.2766433,31.944148,2.51597164,8.5347181
2/18/2016,0,0,0,0,0,0,0
2/21/2016,47.25397641,128.8400022,18.5827519,4.297475858,24.9264846,3.7595098,19.2590725
2/24/2016,46.30049874,293.1327945,6.84381758,4.089076626,14.14967406,4.65380956,27.7392445
2/27/2016,28.75215153,68.21991813,3.16568406,11.08503706,13.93376938,1.156893776,56.808554
3/1/2016,11.35103682,185.2790667,0,0.34993407,3.01733642,0.510490916,32.4092505
3/4/2016,0,44.99915238,10.23753154,4.159331076,2.28055028,2.98536468,2.95798395
3/7/2016,0,205.0177857,10.47308755,1.487476282,22.4750986,0.512133168,1.191133665
3/10/2016,14.70793782,81.61063092,4.31605559,1.904497776,11.39605196,2.15717076,3.4788589
3/13/2016,175.206675,51.54710925,3.2530768,5.18143296,9.71829902,2.95834028,0
3/16/2016,0,104.9655516,0,2.684790534,15.45439,2.1650702,24.043276
3/19/2016,26.5430751,46.54321581,0.38776316,0.644601306,7.66674778,1.278732244,30.086339
3/22/2016,16.13138163,157.2176151,6.71890662,0.363302488,0.892959222,8.3817216,11.67622415
3/25/2016,24.64848729,0,5.84149699,3.483014904,42.2491048,1.197783772,51.738185
3/28/2016,17.27155011,61.56856797,7.13059607,1.485915072,2.68921612,8.71723992,5.0123298
3/31/2016,25.77687717,118.9877325,19.0466748,6.73059934,21.4351628,9.66267816,17.578354
4/9/2016,62.8211631,50.3209161,16.5282362,5.25191044,5.41984696,11.18955676,83.5321125
4/12/2016,14.46058722,54.78477186,2.89193585,0.179744338,0,0,0.4172911
4/15/2016,225.3952896,54.99839436,0,0,0,0,0
4/18/2016,0,204.3000141,24.2194713,7.1904872,32.7709198,0,21.240735
4/21/2016,64.7057391,23.2848525,32.3712594,6.1868522,39.0151024,4.48646616,1.5009582
4/24/2016,0,0,0,0,0,0,0
6/8/2016,0,56.41172082,5.07113785,6.12574198,3.70479032,0.114157302,11.11302895
6/11/2016,25.19560326,0,0,1.171665802,12.62753084,2.6328002,14.6777375
6/15/2016,86.0662302,48.28893888,30.5706095,3.71255738,19.4101048,1.334963784,10.14839595
6/18/2016,89.8766073,14.72884413,25.6123633,11.27818104,25.3238832,1.236865212,3.75924735
6/21/2016,26.26333335,11.76034587,0,9.68485472,11.1538063,0.516561012,45.1348825
6/24/2016,0,54.27549582,12.4663834,7.13874424,11.94799446,0,17.0906635
6/28/2016,9.69202101,44.92737522,3.40112774,6.57447834,9.17960314,1.385665716,32.622867
7/7/2016,0,107.4521175,0.124809863,0,0,0,84.441662
