,Gasoline+Motor Oil+MeatCooking,Diesel,Wood burning,Sea spray,Shipping,Sb,Sn
8/1/2015,10.443699,0,17.1315132,6.970960152,0,0.544034751,0.461048846
8/4/2015,52.232075,63.5858692,0,2.86863642,0.981990924,1.155952592,1.077753032
8/7/2015,17.815602,4.35764822,12.99289872,6.835003812,2.350478739,0,2.920863168
8/10/2015,49.18676,35.1916999,0,0,7.29291623,0.60644684,0.864773426
8/13/2015,24.326533,49.64244,22.865151,8.350429932,0,4.505621234,13.51971542
8/16/2015,44.397094,5.22247178,14.52073674,31.72653432,2.862017627,1.354189062,1.0432577
8/19/2015,27.181049,23.21306622,3.84034128,11.68377444,0.234680215,0,0
8/22/2015,26.705749,39.68172796,9.23377044,21.73946112,0.911074411,1.135795253,0
8/25/2015,54.117658,8.13047366,10.1693442,9.46950732,7.78072784,1.574445339,7.47140468
8/28/2015,22.6786,15.39481738,0.36058572,3.6826803,6.22935805,0.958705558,3.363488664
8/31/2015,7.015428,74.9121838,0.233465226,2.905992648,5.67635328,1.492496734,2.368679464
9/6/2015,85.13302,80.2814056,4.09475946,36.04579524,0,2.280553634,3.418396964
9/9/2015,41.658687,67.3700166,0,7.129618236,7.43012509,1.389498357,3.648430442
9/12/2015,7.552517,53.7227002,0,0.044122703,1.031113212,0.454733276,14.62240328
9/15/2015,24.319064,85.763847,0,1.971663408,2.636418971,1.520588964,5.397421292
9/18/2015,84.01946,90.6801904,6.27363042,45.27812016,0,9.970801657,5.79863947
9/21/2015,34.112281,95.9797386,0.42688506,10.35385884,10.78226641,1.120934308,5.651097638
9/24/2015,71.78388,0,2.50741446,10.9442736,11.93300149,1.033087886,11.5759616
9/27/2015,20.996717,80.4773626,0,15.14494332,6.43024395,2.283269734,2.773579728
9/30/2015,53.355141,105.3290648,0,2.965118832,8.94472897,2.527718698,13.07657314
10/3/2015,23.35081,61.4477606,0,9.40851756,0,2.936685696,25.91865554
10/6/2015,52.124793,110.040742,0,4.469363496,8.26550721,2.119915743,0.74707587
10/9/2015,56.912422,83.0727042,0,6.989850036,7.50251982,1.74270771,0.110766191
10/12/2015,83.37441,99.28488,0,19.3049532,13.3229045,3.617068648,0.194937385
10/15/2015,28.87108,61.5043704,0,2.443741092,1.30045193,0.621074977,3.20599874
10/18/2015,108.93876,110.1147702,0,3.144022128,1.328348538,1.196112065,0.845523222
10/21/2015,100.60064,90.5060064,0,10.93410864,7.28950496,1.557333912,1.799764878
10/24/2015,49.430521,80.1507676,9.57176418,7.97864652,2.887867473,3.741039194,1.94020093
10/27/2015,43.886486,113.284919,0,4.22523504,2.436063713,2.797194581,0.555956227
11/17/2015,194.43165,25.3546585,32.514732,5.528298204,2.563948435,1.901017516,1.120387712
11/20/2015,184.66084,0,48.0219852,9.89220024,2.76919318,2.544209303,9.04759588
11/23/2015,180.55289,0,56.708823,7.642271052,0,1.033941518,0.563204123
11/26/2015,50.644573,0,113.395497,12.47071176,0,0.121683202,0.387801173
12/2/2015,190.27617,19.5129626,56.022204,5.787843516,2.790305151,2.199070646,24.74038802
12/5/2015,309.04685,0.52625341,29.8671882,4.24980036,0,0,0.050864465
12/8/2015,117.9423,147.1375794,5.6708823,2.907347976,6.76720162,2.937849739,0
12/11/2015,107.24805,2.926770206,12.06072114,1.626224184,2.727196656,2.231857848,0.308164759
12/14/2015,156.34654,0,44.290617,8.217014832,1.05105019,0.816575946,1.849246946
12/17/2015,243.34681,8.82851604,20.2678116,3.5492652,0,0,0.370618105
12/23/2015,139.04562,4.77002884,51.511191,1.943963892,0,0,0.019141679
12/27/2015,132.95499,93.6282546,30.4785006,2.33243478,0.961712819,0.945571277,4.339822836
12/29/2015,209.94001,4.001354848,43.9111308,2.56156992,0,0,0.018653318
1/1/2016,141.31348,0,31.4929248,19.57263048,0,2.764213371,5.775900974
1/4/2016,0,0,35.3320848,0,0,0.679083104,0
1/7/2016,195.4162,24.7297734,16.9690872,0.837982361,0,0,2.76931626
1/10/2016,121.65643,17.06611286,20.3047266,4.371864588,3.137307116,1.704507709,0
1/13/2016,105.53018,88.812067,16.3400556,0.772079537,0,0,1.995044632
1/16/2016,89.65516,4.48218978,6.47695824,2.305158804,0.090952039,9.016092645,0
1/19/2016,53.485509,76.7803072,6.08565924,0,2.048619247,7.729243453,3.53415658
1/22/2016,65.511278,53.6530266,1.140924522,0,0.606978642,0.041218752,0
1/28/2016,214.12265,3.596333502,0.79374633,5.434949988,0.414241887,2.377363185,0.82168656
1/31/2016,87.48915,6.71174498,0,0,11.92163059,0,0.19572548
2/3/2016,84.88858,82.5109608,17.2865562,0,0,0,4.26153006
2/6/2016,106.72522,73.0005144,31.444197,13.32372132,0.807902445,7.702276464,13.24323598
2/9/2016,102.72591,162.8228486,0,19.25751672,0,0.727817691,34.74661822
2/12/2016,142.66469,0,41.573673,9.30432672,5.96100481,8.113183533,0
2/15/2016,30.119761,68.1625538,12.48804918,13.595634,2.815927579,2.566714129,10.11217092
2/18/2016,103.02467,5.31435384,22.953747,4.800571776,1.244241781,8.857588832,0.330580265
2/21/2016,93.93286,74.0848098,16.5054348,5.638926852,0,0,8.87834912
2/24/2016,65.604301,70.6708034,31.5711846,9.15439356,3.503639611,1.75824768,7.71558512
2/27/2016,58.956212,50.8312458,12.77288532,3.329956188,1.212668582,2.607067608,0.815743544
3/1/2016,57.852837,76.1880816,17.4046842,9.7541262,4.71172193,1.554870021,0
3/10/2016,16.923396,40.45162124,14.921043,3.256260228,1.92660949,1.487394347,0
3/13/2016,19.329093,65.2362626,1.82980272,3.321908928,0.325359352,0.865562743,0
3/16/2016,24.224683,79.7414352,0,7.863528348,1.117835276,3.330714147,0
3/19/2016,7.99862,68.040625,11.80718892,3.358926324,1.964057654,4.426272324,0
3/22/2016,26.521061,70.1830882,20.369697,5.55853896,3.121160438,2.036298677,0
3/25/2016,78.70968,0.759616424,0.554921046,5.2391898,1.568464043,1.150054776,0
4/3/2016,15.062257,61.4042146,26.8564008,15.65149716,5.38525824,2.727934041,1.655517544
4/9/2016,7.171598,53.5528708,11.1328257,0,17.05142261,0.533480764,0
4/12/2016,50.28674,0,14.64624774,12.3080724,4.76630225,1.475909126,0
4/24/2016,48.412021,0,8.52101562,13.0069134,6.11792323,1.32551481,0
4/30/2016,20.389012,20.34643304,20.8067706,19.50740532,3.201325283,1.735374241,0
5/3/2016,0,47.160318,16.848006,11.65073832,11.95877553,2.478634898,0.500414867
5/6/2016,36.527484,34.33079548,9.5934702,0,17.64725777,0,0.080980053
5/9/2016,0.9606492,43.52596884,22.621512,19.03981716,0.677440319,7.081453697,0.37596682
5/15/2016,47.602653,63.490068,0.209854392,4.53018384,4.90123693,0.557692852,0.529509806
5/18/2016,10.805606,15.51718164,12.77953002,12.21235236,15.85292975,0.019242402,1.340020912
5/21/2016,0,18.37467016,19.9518192,12.49612416,11.7764621,1.556848894,1.116447234
5/24/2016,17.52499,54.0928412,4.62589248,0.571829825,1.435727737,0.20832484,3.22473216
5/27/2016,59.87422,0,7.40027622,7.962890832,10.54006624,0.431452423,0.468509915
5/30/2016,53.20644,43.350043,2.01068622,2.989938276,1.28718588,0.166785977,0.510440476
