(L)Date&Time,,OC(ng/m3),Py C(ng/m3),EC(ng/m3),Li / 7,Mg / 25,S / 34,K / 39,V / 51,As / 75,Se / 77,Br / 79,Rb / 85,Mo / 95,Sn / 118,Sb / 121,Pb / 208
blank DL,,24.39,4.977,6.24,0.000664572,0.099385341,2.529435388,0.585345133,0.001469652,0.002378422,0.003363,0.00500208,0.000443959,0.002563783,0.009393867,0.001007735,0.054065229
instru DL,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-08-01,6,12.195,6.38347508,11.98857339,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.011642261,0.001315253,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2015-08-07,5,31.01198443,10.24094643,22.96920426,0.000332286,0.0496926705,2.724006508,0.2926725665,0.000734826,0.001189211,0.0016815,0.027183904,0.001691253,0.0012818915,0.025996974,0.0005038675,0.0270326145
2015-08-10,1,30.70664072,10.86334833,27.7738584,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.003529916,0.011577552,0.001611733,0.0012818915,0.058213858,0.0005038675,0.0270326145
2015-08-13,4,160.393156,53.99553977,47.61664449,0.000332286,0.316129805,1.264717694,0.2926725665,0.000734826,0.001189211,0.055162337,0.037178689,0.001666312,0.0012818915,0.097912325,0.0005038675,0.0270326145
2015-08-16,7,191.1459205,79.04095106,42.41575623,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.005277646,0.00250104,0.0002219795,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2015-08-19,3,45.11522988,15.81498757,24.80557956,0.000332286,0.189975697,17.95130034,0.853015968,0.004606714,0.0025704,0.011028778,0.27613746,0.00196415,0.004092208,0.0046969335,0.009930245,0.0270326145
2015-08-22,6,54.1090044,16.78444428,23.7569886,0.000332286,0.106110522,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.00250104,0.0002219795,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2015-08-25,2,108.0848682,38.06060103,54.28070846,0.000332286,0.309189245,1.264717694,0.2926725665,0.000734826,0.003346895,0.085057575,0.039160178,0.001668444,0.0012818915,0.204402406,0.0005038675,0.116626422
2015-08-28,5,55.11913907,18.32012682,33.90796937,0.000332286,0.129797075,1.264717694,0.2926725665,0.000734826,0.001189211,0.029522768,0.014022519,0.001651155,0.0012818915,0.12527054,0.0005038675,0.067939093
2015-08-31,1,51.16542785,19.37857164,38.1726528,0.000332286,0.380724153,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.021919568,0.001616399,0.0012818915,0.0046969335,0.00694933,0.0270326145
2015-09-03,4,89.90002343,40.38465269,18.29267393,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.045555983,0.019040858,0.001316237,0.0012818915,0.053938374,0.0005038675,0.0270326145
2015-09-06,,290.6050204,119.958144,37.22926794,0,0.135389703,8.08652637,0.425702944,0,0.004807174,0.201524904,0.146780097,0.002337013,0,0.15378545,0.01669501,0.119867897
2015-09-09,3,254.4365713,122.9929296,38.11681748,0.000332286,0.277191157,9.553663648,0.2926725665,0.017691195,0.007677167,0.359126174,0.092874946,0.002114885,0.008602221,0.796280077,0.022364552,0.1999595
2015-09-12,6,131.5850772,64.92938633,26.517933,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.030384176,0.027602158,0.001874939,0.022410873,0.440789457,0.0005038675,0.0270326145
2015-09-15,2,96.61766195,48.71726355,17.24194205,0.000332286,0.54257156,1.264717694,0.2926725665,0.000734826,0.00372253,0.023157,0.025338616,0.001352596,0.009486122,0.090900679,0.0005038675,0.0270326145
2015-09-18,5,315.9985255,122.6690218,35.04135893,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.00250104,0.0002219795,0.0012818915,0.0046969335,0.0005038675,0.0270326145
2015-09-21,1,148.4800317,75.21118268,24.736399,0.000332286,0.0496926705,5.952766332,0.2926725665,0.009841641,0.003673601,0.14945197,0.103856522,0.002079317,0.035502933,0.354654098,0.017516042,0.172975243
2015-09-24,4,151.9766265,52.88153111,61.88668759,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.005185548,0.0002219795,0.0012818915,0.037525019,0.005417866,0.0270326145
2015-09-27,7,91.12074488,27.50952129,40.87726967,0.000332286,0.108067341,1.264717694,0.2926725665,0.006186044,0.004580098,0.061372749,0.051983936,0.001648741,0.0012818915,0.300511745,0.0005038675,0.11795222
2015-09-30,3,188.9653253,81.74819929,71.98190334,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.004767372,0.034214487,0.041464769,0.002252768,0.00876552,0.305749107,0.0005038675,0.147643872
2015-10-03,6,100.2008379,36.40860353,36.94286938,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.02575029,0.040984725,0.001641527,0.004614055,0.056361464,0.0005038675,0.078345871
2015-10-06,2,170.6034495,70.30951304,48.08616658,0.000332286,0.0496926705,1.264717694,0.2926725665,0.003996986,0.002639598,0.0080959,0.027086847,0.001151461,0.040061572,0.0046969335,0.0005038675,0.071507114
2015-10-09,5,132.085655,44.16217731,46.35710674,0.000332286,0.379414461,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.029458875,0.001591818,0.0012818915,0.0046969335,0.002657886,0.0270326145
2015-10-12,1,273.3367791,108.0862847,88.97380437,0.000332286,0.711542143,5.623177374,0.2926725665,0.018134502,0.003975709,0.0016815,0.098368392,0.002012644,0.052837635,0.0046969335,0.005996314,0.151442707
2015-10-15,4,67.01230666,26.2470175,38.24260785,0.000332286,0.19686814,1.264717694,0.2926725665,0.000734826,0.001189211,0.034829205,0.026080237,0.001528097,0.0012818915,0.076479248,0.0005038675,0.066552534
2015-10-18,7,110.949889,37.24143321,30.69897069,0.000332286,0.0496926705,1.264717694,0.2926725665,0.000734826,0.001189211,0.0016815,0.02525923,0.001662424,0.0012818915,0.012722469,0.0005038675,0.0270326145
2015-10-21,3,247.916952,92.27348957,78.66607784,0.000332286,0.0496926705,2.680073579,0.2926725665,0.000734826,0.007060941,0.0016815,0.08991244,0.002452813,0.03651157,0.0046969335,0.009143183,0.078238669
2015-10-24,6,198.5971932,74.85456484,50.77920928,0.000332286,0.0496926705,3.491871339,0.2926725665,0.000734826,0.001189211,0.0016815,0.056731573,0.002079469,0.004448127,0.0046969335,0.009913345,0.081386895
2015-10-27,2,170.4416785,71.22671044,51.93908663,0.000332286,0.136679804,1.264717694,0.2926725665,0.000734826,0.004225748,0.003643839,0.018141176,0.001375328,0.008675001,0.01037413,0.0005038675,0.056221013
