SP,Mon,Tue,Wed,Thu,Fri,Sat,Sun
K / 39,0.856251046,0.816869762,0.665397602,0.723142921,0.79816596,0.90276813,0.934940648
V / 51,0.008041639,0.008534484,0.008682013,0.007112952,0.007433519,0.006532626,0.007484449
Rb / 85,0.001294501,0.001161572,0.00111027,0.001220835,0.001356543,0.001401761,0.001368326
Sb / 121,0.015830112,0.015570894,0.014354325,0.014101096,0.015295307,0.016959404,0.016672184
Pb / 208,0.058780268,0.064107165,0.065578804,0.062623434,0.063607633,0.057192211,0.054851484
OC(ng/m3),73.22499996,78.43959391,81.94382905,83.81355303,83.85274174,78.96102493,75.75760622
Py C(ng/m3),20.23609091,20.8376971,20.62349545,20.58333991,21.27404714,20.49791024,20.11091416
EC(ng/m3),43.17223437,52.00274617,55.6126124,53.95716494,46.1473104,40.01530182,40.17136083
S,8.060574261,6.953087017,6.544796648,5.488107224,7.865699495,7.110404566,8.574930342
,,,,,,,
,,,,,,,
EO,Mon,Tue,Wed,Thu,Fri,Sat,Sun
K / 39,1.499576021,1.042223022,1.118696367,1.029008546,1.166411646,1.366767323,1.469028984
V / 51,0.007572326,0.007769656,0.008304907,0.006053897,0.005879368,0.00437649,0.005481912
Rb / 85,0.002379584,0.001898086,0.002003801,0.001832357,0.001960456,0.002132221,0.002346813
Sb / 121,0.037540813,0.037805176,0.041137592,0.039242405,0.038787722,0.037111641,0.03723131
Pb / 208,0.091480436,0.093853753,0.104183325,0.107582381,0.101371023,0.083786999,0.079408813
OC(ng/m3),99.31857349,101.9838891,109.5682875,111.7168515,115.6447642,110.649232,109.214605
Py C(ng/m3),25.8779158,26.7291936,29.09757344,29.74299184,31.00028394,28.32625391,28.26484173
EC(ng/m3),52.78780176,63.31537456,69.29542779,64.59779356,55.03223366,50.54204411,50.29787262
S,8.959370936,7.492233165,9.804910349,8.837122727,8.940622025,7.698852054,7.670805532
