start day,Wood ,Sea Spray,No EC3,Sn,Sb,EC3,Shipping
2015-08-01,15.7466583,0.90510813,0.945222397,0.000265726,0,20.45298852,0
2015-08-07,16.4243151,2.260107342,2.596778892,0.393323261,0,44.3487864,0
2015-08-10,16.1466984,0.571041504,0,0.884249769,0,53.066184,0
2015-08-13,14.7740724,2.498429016,69.47965154,1.484147774,0,103.7777184,0
2015-08-16,0,0,209.1118279,0,0,28.28219844,0.7106904
2015-08-19,0,24.6126969,8.370598457,0.065655736,1.220128064,52.4428944,4.238973
2015-08-22,5.6807343,0,16.01548114,0,0,57.2560752,0
2015-08-25,13.3579593,2.397480534,27.5823191,3.14491268,0,117.0659064,0.44148402
2015-08-28,16.6318578,0.440096202,4.989318802,1.933421014,0,74.7168408,0
2015-08-31,14.3202402,1.481536818,12.2598243,0,0.748612475,74.23206,0
2015-09-03,11.401452,1.055765628,103.0794325,0.786782941,0,7.5357444,0
2015-09-06,6.3936342,11.46184614,289.3263681,2.212352396,1.475857026,13.52322012,0
2015-09-09,9.7775901,3.456551934,245.8547316,12.12219234,1.341425339,4.84261392,15.744681
2015-09-12,16.4319408,0.134593895,139.5937787,6.540108752,0,7.5335802,0
2015-09-15,11.1576357,1.53412308,108.1899782,1.356641482,0,9.6371826,0
2015-09-18,0,0,309.2017283,0,0,11.13004776,0
2015-09-21,9.9991476,7.31738754,152.4569948,5.371907382,1.569023135,1.636438188,9.113553
2015-09-24,0,0,67.287328,0.532634344,0.205827998,136.5566916,0
2015-09-27,12.3820758,3.311648928,16.9589665,4.605232602,0,88.5201084,5.632317
2015-09-30,18.2023398,1.645111314,193.4419257,4.587589078,0,44.495952,0.45599625
2015-10-03,12.2534694,3.19711005,105.0358847,0.824552814,0,20.45991396,0
2015-10-06,6.1764048,1.64156067,189.4924521,0,0,29.60971872,4.239504
2015-10-09,14.2443954,2.097818424,56.79471029,0,0,105.764454,0
2015-10-12,7.3847691,7.85059632,272.3856862,0,0.136009777,64.6100268,18.193122
2015-10-15,13.3901109,1.788238998,22.04848491,1.17547705,0,80.226894,0
2015-10-18,14.5399428,1.746671976,105.7672687,0.145422654,0,23.64648204,0
2015-10-21,15.7252239,7.18576884,244.3096829,0,0.638734297,58.4507136,0.5611608
2015-10-24,14.6870982,4.029491196,221.3990791,0,0.903578933,17.21015124,0.7145136
2015-10-27,9.944325,0.754634286,187.1611656,0.075086837,0,28.27440732,0
2015-11-17,27.479313,1.637642718,285.879721,0,0,5.46157512,0
2015-11-20,32.322663,6.28463988,284.7369335,0.537972874,2.904028295,3.22011318,0
2015-11-23,25.890282,2.281349988,90.68430216,0,0,3.155793156,0.004139835
2015-11-26,222.13458,6.26321358,40.54792896,0.065294681,3.183379595,0,2.4072354
2015-11-29,22.085676,1.574894268,233.6131919,0.629255374,0,6.416853,0
2015-12-02,64.136259,4.555292598,252.3914761,2.426166442,4.94696846,2.137234068,0.29382354
2015-12-05,7.1615628,1.348510104,111.4080678,0,0.818205255,152.8314756,6.104907
2015-12-11,12.7897416,5.345616978,27.66551403,0.701248228,2.187908787,64.5624144,0.1947177
2015-12-14,45.323451,4.14262206,172.8351815,0.061682306,2.344002452,26.92654356,1.3020651
2015-12-17,34.54236,4.730069988,15.96976964,0,14.49833247,0,0
2015-12-20,38.701458,15.33755772,0,1.053882248,9.59890274,0,27.988479
2015-12-23,28.447983,5.587734168,109.1224928,0.612848716,4.99548737,0,0.597906
2015-12-26,149.676003,7.56409608,145.1431548,0,3.579176279,0,0
2016-01-01,74.661786,7.315551,11.29348319,1.10317498,1.875770466,0.372913302,0
2016-01-04,0,2.943422658,133.1575995,0,2.39752028,9.08920716,4.748202
2016-01-07,0,0,164.1865657,15.66908634,0,4.269836748,2.3993766
2016-01-10,0,0,53.49708268,0,0,90.8184888,0
2016-01-13,12.7944819,4.852689642,142.9398605,0.375597885,3.540312142,7.61452128,2.4303339
2016-01-16,73.47465,3.748010832,92.0812456,0,5.3370801,22.40942532,0.8818848
2016-01-19,22.388643,3.84724521,136.4396852,0.865051068,14.46941716,31.04198628,3.7715337
2016-01-22,0,0,162.3855326,0,0,7.67295468,0
2016-01-26,36.72702,2.821598838,331.1249637,0,8.92012809,47.7985212,1.5481836
2016-01-31,45.418257,5.356207692,124.5912644,1.145373924,3.801726148,0.284748122,0.6231816
